"Match","Position","Length"
"000005","1","6"
"000008","30","6"
"000043","61","6"
"000044","88","6"
"000082","117","6"
"000087","145","6"
"000088","176","6"
"000113","207","6"
"000115","236","6"
"000116","265","6"
"000176","294","6"
"000177","325","6"
"000183","355","6"
"000269","384","6"
"000341","415","6"
"000342","446","6"
"000414","477","6"
"000464","508","6"
"000485","534","6"
"000486","563","6"
"000487","592","6"
"000488","621","6"
"000581","650","6"
"000585","677","6"
"000595","706","6"
"000618","731","6"
"000711","757","6"
"000751","784","6"
"000870","811","6"
"000917","837","6"
"000985","863","6"
"000988","890","6"
"000989","921","6"
"000990","952","6"
"001036","983","6"
"001039","1010","6"
"001044","1037","6"
"001416","1063","6"
"001539","1090","6"
"001577","1121","6"
"001616","1148","6"
"001620","1175","6"
"001637","1204","6"
"001639","1235","6"
"001640","1262","6"
"001688","1289","6"
"001755","1316","6"
"001756","1342","6"
"001757","1369","6"
"001758","1396","6"
"001759","1423","6"
"001760","1450","6"
"001812","1477","6"
"001872","1501","6"
"001873","1531","6"
"001878","1561","6"
"002149","1589","6"
"002168","1615","6"
"002178","1642","6"
"002211","1669","6"
"002212","1695","6"
"002221","1721","6"
"002222","1748","6"
"002548","1774","6"
"002549","1801","6"
"002550","1829","6"
"002749","1854","6"
"002917","1879","6"
"002991","1906","6"
"003053","1933","6"
"003054","1961","6"
"003056","1989","6"
"003187","2016","6"
"003292","2041","6"
"003298","2068","6"
"003299","2096","6"
"003357","2124","6"
"003458","2152","6"
"003459","2178","6"
"003460","2204","6"
"003461","2228","6"
"003634","2255","6"
"003879","2282","6"
"003880","2311","6"
"003881","2342","6"
"003984","2373","6"
"003985","2403","6"
"004030","2433","6"
"004066","2463","6"
"004115","2490","6"
"004116","2516","6"
"004173","2542","6"
"004353","2568","6"
"004355","2596","6"
"004356","2625","6"
"004365","2654","6"
"004450","2681","6"
"004477","2711","6"
"004486","2739","6"
"004488","2764","6"
"004501","2795","6"
"004536","2822","6"
"004544","2853","6"
"004775","2880","6"
"004916","2908","6"
"005088","2936","6"
"005089","2965","6"
"005156","2994","6"
"005157","3024","6"
"005166","3054","6"
"005167","3083","6"
"005229","3112","6"
"005267","3143","6"
"005303","3170","6"
"005304","3198","6"
"005612","3226","6"
"005662","3256","6"
"005663","3284","6"
"070001","3312","6"
"070002","3340","6"
"070003","3363","6"
"070005","3386","6"
"070006","3409","6"
"070008","3436","6"
"070009","3460","6"
"070010","3486","6"
"070011","3511","6"
"070012","3536","6"
"070013","3565","6"
"070015","3593","6"
"070016","3619","6"
"070017","3645","6"
"070018","3673","6"
"070019","3696","6"
"070020","3723","6"
"070021","3748","6"
"070022","3776","6"
"070023","3803","6"
"070025","3831","6"
"070026","3857","6"
"070027","3883","6"
"070028","3910","6"
"070029","3938","6"
"070030","3966","6"
"070031","3994","6"
"070032","4020","6"
"070033","4047","6"
"070035","4077","6"
"070036","4106","6"
"070037","4135","6"
"070038","4161","6"
"070088","4187","6"
"070099","4211","6"
"150032","4238","6"
"150033","4263","6"
"159910","4288","6"
"159918","4317","6"
"159919","4346","6"
"159922","4375","6"
"159926","4404","6"
"159951","4434","6"
"159955","4463","6"
"160706","4490","6"
"160716","4521","6"
"160717","4547","6"
"160718","4574","6"
"160719","4601","6"
"160720","4624","6"
"160721","4655","6"
"160722","4686","6"
"160723","4713","6"
"505888","4744","6"
"511960","4767","6"
"512550","4793","6"
"512600","4824","6"
"512610","4854","6"
"512640","4884","6"
"519808","4914","6"
"519809","4945","6"
