"Match","Position","Length"
"000009","1","6"
"000010","30","6"
"000013","59","6"
"000032","88","6"
"000033","116","6"
"000111","144","6"
"000112","175","6"
"000147","206","6"
"000148","235","6"
"000171","264","6"
"000189","292","6"
"000205","320","6"
"000206","351","6"
"000265","382","6"
"000266","413","6"
"000307","444","6"
"000359","474","6"
"000404","501","6"
"000428","531","6"
"000429","562","6"
"000430","593","6"
"000436","624","6"
"000593","655","6"
"000603","686","6"
"000620","717","6"
"000621","746","6"
"000647","775","6"
"000648","804","6"
"000704","833","6"
"000705","862","6"
"000789","891","6"
"000790","918","6"
"000829","945","6"
"000830","973","6"
"000833","1001","6"
"000920","1032","6"
"000950","1061","6"
"001010","1092","6"
"001018","1119","6"
"001076","1146","6"
"001136","1174","6"
"001182","1200","6"
"001184","1228","6"
"001216","1259","6"
"001217","1287","6"
"001249","1315","6"
"001285","1345","6"
"001286","1372","6"
"001314","1399","6"
"001315","1426","6"
"001342","1453","6"
"001343","1480","6"
"001344","1507","6"
"001373","1538","6"
"001382","1569","6"
"001433","1597","6"
"001437","1623","6"
"001438","1650","6"
"001441","1677","6"
"001442","1704","6"
"001443","1731","6"
"001444","1762","6"
"001475","1793","6"
"001512","1821","6"
"001513","1852","6"
"001562","1880","6"
"001603","1910","6"
"001745","1938","6"
"001746","1969","6"
"001747","2000","6"
"001748","2031","6"
"001769","2062","6"
"001802","2091","6"
"001803","2118","6"
"001806","2145","6"
"001807","2176","6"
"001817","2207","6"
"001818","2238","6"
"001832","2269","6"
"001835","2299","6"
"001836","2330","6"
"001856","2361","6"
"001857","2389","6"
"001898","2418","6"
"002216","2445","6"
"002217","2472","6"
"002351","2499","6"
"002600","2527","6"
"002602","2558","6"
"002910","2584","6"
"002963","2612","6"
"002969","2642","6"
"003133","2668","6"
"003134","2695","6"
"003214","2722","6"
"003293","2750","6"
"003321","2776","6"
"003322","2805","6"
"003323","2834","6"
"003358","2863","6"
"003524","2894","6"
"003718","2925","6"
"003719","2956","6"
"003720","2987","6"
"003721","3016","6"
"003722","3045","6"
"003839","3076","6"
"003840","3107","6"
"003882","3138","6"
"003883","3165","6"
"003961","3192","6"
"003962","3223","6"
"004742","3254","6"
"004743","3285","6"
"004744","3316","6"
"004746","3347","6"
"005098","3376","6"
"005099","3403","6"
"005100","3434","6"
"005101","3465","6"
"005122","3495","6"
"005124","3524","6"
"005437","3555","6"
"005438","3586","6"
"005583","3617","6"
"005675","3646","6"
"005676","3677","6"
"110001","3707","6"
"110002","3733","6"
"110003","3759","6"
"110005","3788","6"
"110006","3814","6"
"110007","3839","6"
"110008","3868","6"
"110009","3897","6"
"110010","3925","6"
"110011","3954","6"
"110012","3981","6"
"110013","4009","6"
"110015","4035","6"
"110016","4063","6"
"110017","4088","6"
"110018","4115","6"
"110019","4142","6"
"110020","4173","6"
"110021","4204","6"
"110022","4235","6"
"110023","4261","6"
"110025","4291","6"
"110026","4319","6"
"110027","4350","6"
"110028","4377","6"
"110029","4404","6"
"110030","4430","6"
"110031","4461","6"
"110032","4492","6"
"110033","4523","6"
"110035","4554","6"
"110036","4581","6"
"110037","4608","6"
"110038","4635","6"
"110050","4662","6"
"110051","4692","6"
"110052","4722","6"
"110053","4752","6"
"112002","4782","6"
"118001","4810","6"
"118002","4836","6"
"150106","4866","6"
"150107","4890","6"
"150255","4914","6"
"150256","4941","6"
"150257","4968","6"
"150258","4995","6"
"150259","5022","6"
"150260","5049","6"
"159001","5076","6"
"159002","5106","6"
"159901","5136","6"
"159915","5166","6"
"159934","5194","6"
"159950","5221","6"
"161115","5250","6"
"161116","5281","6"
"161117","5307","6"
"161118","5335","6"
"161119","5363","6"
"161120","5391","6"
"161121","5419","6"
"161122","5445","6"
"161123","5471","6"
"161124","5497","6"
"161125","5528","6"
"161126","5559","6"
"161127","5590","6"
"161128","5619","6"
"161129","5648","6"
"161130","5677","6"
"502003","5708","6"
"502004","5734","6"
"502005","5761","6"
"502006","5788","6"
"502007","5818","6"
"502008","5849","6"
"502010","5880","6"
"502011","5908","6"
"502012","5937","6"
"502048","5966","6"
"502049","5996","6"
"502050","6027","6"
"510130","6058","6"
"510310","6087","6"
"510580","6117","6"
"510900","6147","6"
"511800","6174","6"
"512010","6199","6"
"512070","6230","6"
"512560","6261","6"
"512570","6290","6"
